Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	11.317222	0.6440521	12.095725	10.312294	61.25	46.380898	111.0	0.0	1000.0	8906.0	0.08906	1.1593354	0.42336038	1.945557	-0.46941432	4.05573	4.1831484	29.789858	0.38067	-2.4318695e-08	-0.016783852	2.9563903e-08	0.004612118	0.054182407	-0.029855147	62.424423	-31.274876	0	0	0.93104774	1.0	1.5648074	0.0060837166	100000	125.63573479652405
25	12.3662	2.5398746	14.114483	7.977433	82.5	55.54503	170.0	19.0	1000.0	9236.0	0.08880769230769231	1.2421743	0.3234483	1.9437203	0.25615215	5.383664	6.9710603	29.229677	-0.2362194	-2.861023e-09	-0.021745056	-3.5762786e-09	-0.017317997	0.11462414	-0.06173538	148.39238	-45.35843	0	0	0.8626622	0.0	1.5930648	0.008788593	104000	130.7260160446167
26	14.127092	1.5453917	15.81975	11.726541	59.5	57.421684	156.0	15.0	1000.0	9474.0	0.08772222222222222	1.3413506	0.4044799	2.3220103	-0.017144926	7.7755046	4.598576	29.231585	0.28121138	-1.4901161e-08	-0.0256166	-1.2826919e-07	0.0057767844	0.092958756	-0.07309985	54.463306	-26.70206	0	0	0.8433106	0.0	1.5553621	0.009748837	108000	135.84862327575684
27	12.517364	1.5593923	14.7410755	10.992573	79.75	10.304732	90.0	63.0	1000.0	9793.0	0.0874375	1.4219658	0.38613793	2.1601825	0.24378751	7.366145	6.596343	40.16907	1.708422	5.722046e-09	-0.020802915	-4.386902e-08	-0.006528905	0.11511301	-0.06844532	56.60455	-23.519917	0	0	0.9516629	0.0	1.5725102	0.009313253	112000	140.9822642803192
28	10.662498	1.4869099	12.251257	8.23765	82.75	47.3623	163.0	47.0	1000.0	10124.0	0.08727586206896552	1.2150921	0.50896055	2.280629	-0.13196768	8.477711	5.376867	35.2001	3.1085174	-1.4722347e-08	-0.01944229	5.7220458e-08	-0.0113622425	0.061646514	-0.03991115	75.052765	-32.600147	0	0	0.92075074	0.0	1.5834181	0.008736976	116000	146.11809134483337
29	13.720009	1.1958781	15.596347	12.472905	63.25	35.800663	94.0	4.0	1000.0	10377.0	0.086475	1.287167	0.3517215	1.8353127	-0.008862516	7.833082	7.1734924	39.421726	-1.0775974	-1.0728836e-09	-0.01932464	2.9563903e-08	-0.004520779	0.07530279	-0.032467354	75.60009	-40.01959	0	0	0.9616574	0.0	1.5629177	0.008239746	120000	151.24989795684814
30	12.897678	0.6655606	14.023952	12.373667	33.5	17.741196	59.0	9.0	1000.0	10511.0	0.08476612903225807	1.2988919	0.44997457	2.0766878	-0.37944427	6.6789064	6.1768765	35.937172	0.95651984	-6.6161157e-09	-0.025317295	3.027916e-08	0.0051547433	0.10655779	-0.06486876	36.274746	-26.105656	0	0	0.8162207	0.0	1.5642158	0.009443277	124000	156.41965317726135
31	11.657076	1.9503984	14.536229	9.070973	35.5	32.745228	88.0	0.0	1000.0	10653.0	0.0832265625	1.2610495	0.4576598	2.2994893	-0.23162003	4.120087	4.176852	34.382732	0.6160829	-1.5497208e-09	-0.021814616	-9.1552735e-08	-0.014132707	0.104700625	-0.06090759	72.81833	-23.509792	0	0	0.87644595	0.0	1.5350413	0.008482931	128000	161.53658294677734
32	14.442101	2.659137	17.87026	10.404363	34.25	35.492077	91.0	0.0	1000.0	10790.0	0.08174242424242424	1.2906079	0.46414164	2.1942801	-0.12227279	4.0492854	3.9418848	28.143904	0.3225588	7.629395e-09	-0.023369245	4.5776368e-08	0.011390187	0.21299854	-0.102390364	26.560717	-7.7103634	0	0	0.87696505	0.0	1.4977132	0.00920536	132000	166.70661163330078
33	12.639383	2.1213996	15.578826	9.884626	76.5	58.35452	173.0	16.0	1000.0	11096.0	0.08158823529411764	1.372719	0.43568847	2.816997	0.21354192	4.536822	4.4530964	32.620678	0.91013205	2.2768974e-08	-0.020855216	-7.8678134e-08	0.0061983075	0.12674803	-0.079425104	124.663765	-38.465866	0	0	0.92684567	0.0	1.4448469	0.008766543	136000	171.94521617889404
34	14.212925	1.7543718	16.60217	11.891356	54.75	58.362553	155.0	10.0	1000.0	11315.0	0.08082142857142857	1.3498122	0.4555501	2.137105	-0.28193292	6.415172	3.4333997	37.743767	2.948468	1.0728836e-09	-0.022740938	-3.33786e-08	-0.010425883	0.14896767	-0.0853665	48.39003	-16.95976	0	0	0.84587497	0.0	1.4205844	0.008733816	140000	177.1281223297119
35	13.698636	0.5434939	14.355004	13.006654	53.0	32.886166	81.0	0.0	1000.0	11527.0	0.08004861111111111	1.433594	0.4358208	2.3528419	-0.16643722	5.635713	4.7657876	33.07173	3.1692545	1.5735626e-08	-0.020013617	3.6478042e-08	-0.0034242605	0.10923198	-0.05272801	43.252632	-14.992191	0	0	0.90612566	0.0	1.3875682	0.008812165	144000	182.31861901283264
36	14.314405	1.3016052	16.434267	13.073038	38.25	37.02955	98.0	0.0	1000.0	11680.0	0.07891891891891892	1.4225667	0.47335812	2.6650138	-0.10003938	4.637036	3.026582	30.501526	3.0849013	3.5762786e-09	-0.023710586	-1.45435335e-08	-0.0044653653	0.11177275	-0.06560026	36.06924	-2.4997787	0	0	0.8425199	0.0	1.3649035	0.00965465	148000	187.47013306617737
37	13.8526	3.398213	17.224384	8.401168	39.25	23.01494	68.0	8.0	1000.0	11837.0	0.077875	1.5460923	0.42701235	2.3562624	-0.15122497	4.5135593	2.9358263	24.39151	2.7029335	-5.1259996e-09	-0.020854263	5.4121017e-08	-0.0018278973	0.12234724	-0.08681994	15.338641	-2.6266584	0	0	0.8942404	0.0	1.3310666	0.008724742	152000	192.646342754364
38	15.033274	1.50123	17.2042	13.628493	41.75	10.328964	53.0	30.0	1000.0	12004.0	0.07694871794871795	1.4778408	0.47868577	2.4322765	-0.05534808	4.3454247	2.6244948	18.325686	1.986193	-9.953975e-09	-0.01977685	1.6868114e-08	-0.0046295733	0.07801267	-0.048507676	24.554516	-4.312645	0	0	0.9676457	0.0	1.3049703	0.0089260675	156000	197.8339204788208
39	14.791671	2.3940065	18.424314	11.802089	26.25	29.986456	73.0	0.0	1000.0	12109.0	0.07568125	1.5780915	0.37523827	2.5384963	0.41469675	4.292788	1.9819614	14.366476	2.5725095	2.503395e-08	-0.022943288	-3.5762787e-10	-0.0047796923	0.063472986	-0.033830274	15.902999	-5.4386024	0	0	0.8556075	0.0	1.2891912	0.009993032	160000	203.04345536231995
40	16.379045	1.225841	17.863346	14.646188	59.75	31.107676	102.0	27.0	1000.0	12348.0	0.07529268292682927	1.568538	0.3700318	2.1189346	0.12727046	3.5761487	3.3763497	16.978777	1.0426635	-2.861023e-09	-0.01975414	-7.6293944e-08	0.007482237	0.113373175	-0.060102522	50.808655	-25.03119	0	0	0.94630414	0.0	1.2818342	0.008997861	164000	208.25134706497192
41	13.79428	1.5806898	15.3946495	11.840947	79.25	50.928257	153.0	12.0	1000.0	12665.0	0.07538690476190477	1.5140793	0.466996	2.3196175	0.24016894	5.829322	4.71898	30.313843	1.1391542	1.0251999e-08	-0.022478143	1.0251999e-08	-0.00031165621	0.07936015	-0.04294075	69.91642	-25.992168	0	0	0.8516802	0.0	1.259474	0.00913956	168000	213.45237159729004
42	15.786856	0.8525951	16.678007	14.678626	62.5	23.243279	101.0	41.0	1000.0	12915.0	0.07508720930232558	1.4712673	0.41315922	2.1919146	0.010074507	7.5717483	3.7672498	27.27266	4.7740617	-1.0728836e-09	-0.021522406	1.6450882e-08	-0.008512627	0.173046	-0.1009213	72.61519	-22.402847	0	0	0.9159519	0.0	1.257685	0.009293947	172000	218.71595859527588
43	13.647736	0.84807706	14.888249	12.540309	88.0	61.30253	188.0	34.0	1000.0	13267.0	0.07538068181818182	1.58053	0.4516374	2.6678877	0.2542121	7.567564	3.2930198	30.472462	4.3674016	9.953975e-09	-0.021600647	-3.361702e-08	-0.019317148	0.15205854	-0.10207614	129.51863	-67.63913	0	0	0.90278673	0.0	1.2953444	0.00903512	176000	223.94903707504272
44	15.069892	1.8738886	17.703043	12.403965	44.0	24.718414	83.0	15.0	1000.0	13443.0	0.07468333333333334	1.4612437	0.33935001	2.1667948	0.3402219	7.119646	4.4944243	40.080887	-0.77021843	-4.6491624e-09	-0.024052514	9.298325e-09	-0.010100581	0.10147493	-0.063157536	51.10695	-19.297657	0	0	0.8083201	0.0	1.2358258	0.009119764	180000	229.2359118461609
45	15.212295	1.9442044	17.265703	12.023776	45.75	36.085835	101.0	0.0	1000.0	13626.0	0.07405434782608696	1.6026413	0.43044725	2.4460838	0.3495095	4.6754766	2.9593124	23.985558	2.1299455	1.2278557e-08	-0.02433578	-2.7418137e-08	0.008476179	0.06997611	-0.03392598	39.730885	-5.8074875	0	0	0.8194859	0.0	1.207191	0.009550717	184000	234.49769115447998
46	15.665206	2.2081888	18.30515	12.300084	42.0	29.257477	86.0	10.0	1000.0	13794.0	0.07337234042553191	1.5583386	0.42664772	2.5470498	0.3933301	4.5349874	2.8442445	30.304577	-1.2306542	-3.9696694e-08	-0.024050172	1.5974045e-08	0.0030618007	0.12200664	-0.06813535	16.647158	-4.708624	0	0	0.8614717	0.0	1.2094418	0.009617065	188000	239.7745909690857
47	13.402205	1.4253762	15.124734	11.945393	64.0	36.304268	110.0	14.0	1000.0	14050.0	0.07317708333333334	1.5376647	0.46870172	2.364369	0.018204218	4.772687	3.4096353	17.704966	-3.2196503	3.218651e-09	-0.025960388	5.6266785e-08	-1.118803e-05	0.11305298	-0.068264246	58.63251	-17.003613	0	0	0.7678889	0.0	1.2187359	0.009480642	192000	245.0576639175415
48	15.464348	1.4897878	17.101217	13.491115	89.5	58.405907	158.0	0.0	1000.0	14408.0	0.07351020408163265	1.4977173	0.41348425	2.2493007	-0.016968055	6.3626046	4.388632	28.896902	-5.715769	-9.6559525e-09	-0.017142143	-5.722046e-09	-0.007729621	0.07302475	-0.04498496	117.87746	-44.471313	0	0	0.9100424	1.0	1.1758742	0.007010096	196000	250.35697722434998
49	17.023048	1.3115907	18.30925	14.829101	48.75	13.899191	71.0	34.0	1000.0	14603.0	0.073015	1.6104974	0.43231162	2.370115	0.21434122	9.070193	4.141252	33.674416	4.080577	-7.510185e-09	-0.021512596	-1.8119812e-07	-0.013905807	0.09632096	-0.057685856	45.8386	-27.484886	0	0	0.8968093	0.0	1.1611351	0.009229418	200000	255.6707468032837
