Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
24	3.1775403	2.6013997	11.522619	-0.11838104	36.142857	44.1254	177.0	0.0	1000.0	30198.0	0.040264	0.24963391	0.3718933	1.4106902	-0.67915183	5.0566583	4.4591837	18.365047	1.0021005	-2.9802322e-08	-0.004661168	-4.4703484e-08	-0.03272918	0.07103412	-0.028087044	74.03696	-18.628077	1.3538686	0.019746661	2.0	1.8398529	0.05160533	750000	698.8365643024445
25	2.269422	2.1422539	7.421228	-1.069644	23.0	32.994587	132.0	0.0	1000.0	30842.0	0.03954102564102564	0.2878396	0.37442917	1.5443857	-0.6645677	3.329479	2.6689627	19.465263	-1.2188971	-7.450581e-09	-0.0019857455	3.7252903e-09	-0.003983509	0.049999863	-0.02208847	37.866173	-13.066591	1.3736153	0.017840862	2.0	1.840229	0.0062441584	780000	726.7474987506866
26	2.1925821	2.183994	6.3430285	-0.69287676	20.785715	42.564537	168.0	0.0	1000.0	31598.0	0.03900987654320988	0.20630218	0.35341713	1.4496101	-0.5700385	2.2235785	3.2411227	21.27167	-1.3044715	0.0	-0.008282224	-1.4901161e-08	-0.016290965	0.053045213	-0.018210372	61.6944	-13.033129	1.3914561	0.015993714	6.0	1.8402886	0.014881127	810000	755.04714012146
27	2.7744162	2.2335238	7.6959267	-0.86086833	59.142857	81.606514	319.0	0.0	1000.0	33755.0	0.04018452380952381	0.2705476	0.3571197	1.6689507	-0.4319352	2.516087	3.8445582	24.733038	-2.8623514	-4.0978193e-08	-0.0027242526	-6.7055225e-08	-0.0216473	0.058698814	-0.024050806	227.52498	-91.90531	1.4074498	0.019148946	1.0	1.841982	0.036431663	840000	782.8888335227966
28	1.6137145	2.4315786	7.515035	-1.6817967	27.821428	74.22699	315.0	0.0	1000.0	34755.0	0.03994827586206896	0.20337555	0.34088072	1.7211243	-0.5063672	3.9103708	5.817453	40.85741	-0.2293652	4.4703484e-08	-0.0018967278	5.9604645e-08	-0.030276084	0.055902585	-0.026857033	171.66609	-63.124363	1.4265988	0.018030286	1.0	1.8423438	0.049846727	870000	810.806574344635
29	2.1683424	3.0260794	11.073882	-2.8067684	6.321429	12.592668	49.0	0.0	1000.0	34932.0	0.03881333333333333	0.19592136	0.39704248	1.5707269	-0.62955666	2.211805	3.9217622	26.762033	-3.4648893	-1.4901161e-08	-0.00049286924	-2.2351742e-08	-0.008830347	0.12491051	-0.065953836	21.748926	-16.024065	1.4446291	0.013376832	1.0	1.8425281	0.018498112	900000	838.6559193134308
30	2.827961	2.7666395	8.072936	-0.9874057	21.821428	25.70027	96.0	0.0	1000.0	35605.0	0.03828494623655914	0.28665766	0.5367662	1.9472808	-0.9482326	0.9082798	1.5540701	9.588214	-10.60223	-3.7252903e-09	-0.011380735	1.8626451e-09	-0.019894429	0.1057869	-0.038289286	24.766747	-11.656372	1.4580059	0.0132312775	23.0	1.8426969	0.012868969	930000	868.3665254116058
31	3.3520582	3.031432	8.196348	-2.6469402	16.714285	21.672657	86.0	0.0	1000.0	36116.0	0.03762083333333333	0.3192326	0.5644116	2.0406628	-1.0447714	1.8223386	3.0944717	24.449152	0.34188333	-2.7939677e-09	-0.0026790574	-9.313226e-10	-0.0034644403	0.09916808	-0.039860032	18.869104	-3.544531	1.4712372	0.009419203	2.0	1.8346739	0.0053486754	960000	896.6091322898865
32	4.167009	2.8076677	9.773613	-1.0558002	17.571428	23.022394	85.0	0.0	1000.0	36646.0	0.037016161616161614	0.3689959	0.562022	1.7190408	-1.0884405	1.9207916	3.1986558	26.139494	0.17094171	9.313226e-09	-0.010609823	1.1175871e-08	-0.017909763	0.11542095	-0.036709372	16.933157	-3.7343307	1.4806564	0.008324742	15.0	1.8332589	0.013985541	990000	925.7166624069214
33	5.124698	3.1109996	13.2922945	-1.1371499	25.678572	31.22505	145.0	0.0	1000.0	37444.0	0.036709803921568626	0.4756292	0.55914515	1.8790345	-0.8753732	2.2150097	3.0788498	22.737242	-0.28493494	2.6077032e-08	-0.0029126992	3.7252903e-08	-0.011101678	0.11127083	-0.038354203	24.709219	-3.8216689	1.4889811	0.006883502	2.0	1.8283017	0.016303126	1020000	953.890219449997
