Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	17.803144	3.3496847	24.04078	10.770324	72.0	27.93743	121.0	30.0	1000.0	63862.0	0.08514933333333333	1.8161222	0.5287967	2.808385	-0.29424775	7.734654	4.2621737	32.066494	-1.1222405	3.7252903e-09	-0.008982037	-2.9802322e-08	-0.00026512903	0.14783087	-0.01827595	21.255638	-5.372227	0	0	2.2410626	0.0	1.4158244	0.009652619	750000	520.230699300766
25	16.938095	3.2345538	22.419342	11.457092	78.5	30.587307	135.0	24.0	1000.0	66218.0	0.08489487179487179	1.8146932	0.5668123	2.6889849	-0.21925524	7.586342	4.2788935	29.229305	-0.95784473	-2.7939677e-09	-0.00809833	-3.0733645e-08	0.0021660477	0.15535265	-0.02083378	22.87793	-6.4237013	0	0	2.5164387	0.0	1.3982162	0.009619753	780000	541.8519811630249
26	19.005817	2.3671029	24.042948	11.919909	82.166664	38.46066	141.0	16.0	1000.0	68764.0	0.08489382716049383	1.8383353	0.47434163	2.6121175	-0.73663086	8.61387	4.730224	31.262325	-1.0748986	1.6763806e-08	-0.00792717	-1.1175871e-08	0.0005614939	0.1604282	-0.03738018	27.849289	-7.1673527	0	0	2.469592	0.0	1.4011409	0.009379754	810000	563.5323214530945
27	18.301607	3.2794766	24.758564	10.313755	76.208336	28.88047	134.0	20.0	1000.0	71084.0	0.08462380952380952	1.8777167	0.50287515	2.7300694	-0.23183323	8.134148	4.968417	33.317455	-6.3694816	-1.4901161e-08	-0.008410085	-4.0978193e-08	0.0027908552	0.18093033	-0.029005367	28.53059	-8.568102	0	0	2.3530874	0.0	1.3837925	0.009465036	840000	585.3722178936005
28	16.890522	3.0962155	22.889626	11.118655	90.75	30.916891	162.0	43.0	1000.0	73833.0	0.0848655172413793	1.8700316	0.5630726	2.7482712	-0.46284455	8.457305	4.851625	27.988424	-0.0047419816	1.6763806e-08	-0.00906862	3.7252903e-09	-0.0016615381	0.18133387	-0.03708574	30.602324	-9.304634	0	0	2.2520356	0.0	1.367413	0.009583171	870000	607.2549798488617
29	17.506113	2.6652355	22.849924	11.816515	80.375	22.660194	125.0	44.0	1000.0	76292.0	0.0847688888888889	1.7989479	0.5230801	2.667122	-0.40306273	8.639665	4.7404594	30.133379	-1.4860687	1.8626451e-08	-0.00834927	4.4703484e-08	-0.0029534553	0.18350425	-0.036703177	23.030096	-7.0448184	0	0	2.4011693	0.0	1.3860182	0.009296377	900000	629.0964214801788
30	18.298178	1.9178141	22.326576	13.560585	87.333336	33.050045	154.0	33.0	1000.0	78871.0	0.08480752688172043	1.8059832	0.5038919	2.7834392	-0.652777	8.606066	4.9204903	33.255486	-7.1344576	-3.4924597e-09	-0.0069822446	-2.2351742e-08	-0.005960253	0.15501139	-0.025972843	25.62522	-7.6600895	0	0	2.8019216	0.0	1.3649116	0.009703202	930000	651.0859832763672
31	17.637852	2.197371	23.54241	14.394389	82.375	39.977924	207.0	36.0	1000.0	81382.0	0.08477291666666667	1.8413067	0.49438277	2.639722	-0.26697734	8.631487	4.7404695	31.027481	-1.4655018	9.313226e-09	-0.007551128	4.8428774e-08	0.0008741426	0.14177825	-0.023622721	29.157148	-10.442149	0	0	2.641715	0.0	1.355322	0.0095726885	960000	673.1595640182495
32	17.992947	2.5014246	24.901525	14.006075	82.166664	28.979397	136.0	32.0	1000.0	83853.0	0.0847	1.8363824	0.48323476	2.606406	-0.22008729	8.755851	5.2890396	34.07008	-2.6006432	-7.450581e-09	-0.0075779962	-3.3527613e-08	0.002013348	0.14681572	-0.025464388	23.761902	-9.109226	0	0	2.6171684	0.0	1.3284023	0.009500933	990000	695.3036329746246
33	17.954035	2.7778423	23.801622	10.833154	81.25	33.290703	148.0	24.0	1000.0	86093.0	0.08440490196078432	1.8827304	0.49582645	2.7824125	-0.2625999	8.112112	4.7768	30.799011	-3.5491226	-5.5879354e-09	-0.007686149	-1.8626451e-08	0.0011120015	0.15668935	-0.022175472	24.947548	-10.900551	0	0	2.5671434	0.0	1.3025208	0.009313079	1020000	717.5566256046295
