Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
26	4.349273	3.9917586	13.143205	-0.42430243	7.5333333	16.806215	67.0	0.0	1000.0	31080.0	0.03837037037037037	0.38880312	0.45455876	1.8308579	-0.1834259	4.3065286	0.29217744	6.021386	4.234524	-1.438877e-07	-0.0085384	-2.6448566e-07	-0.0065154703	0.0972897	-0.046107095	22.602724	-10.584841	1.2690349	0.022228718	2.3917925	0.0	1.590398	0.009343223	810000	2465.320868730545
27	4.6264896	3.0700681	9.973972	-1.5885663	38.7	58.86207	271.0	0.0	1000.0	32241.0	0.03838214285714286	0.4647139	0.5030664	2.0794427	-0.5325114	1.248868	0.74015987	3.4720616	0.7410047	-4.808245e-08	-0.017566724	-8.138021e-08	-0.02940944	0.081095934	-0.027973164	111.248405	-7.9301376	1.2912636	0.022526622	1.1026276	0.0	1.5915147	0.009527108	840000	2563.9765844345093
28	5.036517	3.8079953	11.931751	-1.0259027	39.733334	60.341213	246.0	0.0	1000.0	33433.0	0.03842873563218391	0.453967	0.50540805	1.9801222	-0.44984135	3.5952682	0.7943503	16.322927	3.2323802	4.862645e-08	-0.018519482	8.138021e-08	-0.02758213	0.074793756	-0.029160533	116.67028	-21.551277	1.3137902	0.022979379	1.0737177	0.0	1.6049426	0.009352173	870000	2661.839702129364
29	6.402893	3.5797493	12.993467	0.31562918	25.7	31.636637	99.0	0.0	1000.0	34204.0	0.038004444444444445	0.59336525	0.5217727	2.148065	-0.22147202	4.2117577	3.437878	16.891384	2.516107	-5.7744065e-10	-0.017553944	2.0345052e-09	-0.02770972	0.0971445	-0.036252778	50.06093	-10.147209	1.3367696	0.02121973	1.1571748	0.0	1.6231127	0.009739571	900000	2754.164798974991
30	7.859778	3.858554	14.917216	-0.05467491	28.066668	44.10362	183.0	0.0	1000.0	35046.0	0.037683870967741936	0.6764652	0.53110874	1.9083283	-0.31935686	2.459173	1.6430387	12.957981	1.6719377	-3.5180104e-08	-0.017414939	-5.6966147e-08	-0.026496468	0.13574667	-0.063004114	63.53702	-12.363445	1.3579893	0.019990563	1.1529739	0.0	1.638873	0.00930201	930000	2851.8251416683197
31	8.33294	3.7457504	15.850565	1.4491196	45.866665	75.30946	263.0	0.0	1000.0	36422.0	0.03793958333333333	0.78882354	0.5666145	2.185467	-0.43246734	3.1676285	2.8211343	44.384327	2.0174954	-3.899938e-08	-0.020569159	-5.6966147e-08	-0.034283035	0.1415892	-0.05739055	156.98323	-13.80191	1.3779799	0.021682858	0.939417	0.0	1.6360788	0.008983614	960000	2935.5095703601837
32	8.777776	3.826217	16.568954	-0.5800017	39.4	49.76987	210.0	0.0	1000.0	37604.0	0.037983838383838384	0.8587113	0.57441056	2.283193	-0.50751793	4.6426964	1.255702	8.563342	3.853488	-1.6950874e-08	-0.018535294	-4.0690104e-08	-0.026604688	0.15486452	-0.07982915	67.62062	-6.07082	1.3996627	0.022278786	1.0516058	0.0	1.6213701	0.009433626	990000	3021.9304780960083
33	7.582496	3.73453	14.827119	-0.02380505	33.533333	49.756565	259.0	0.0	1000.0	38610.0	0.03785294117647059	0.7299524	0.5987475	2.3193772	-0.55668765	4.1270375	1.9022447	7.9767942	2.7057416	-1.9007034e-08	-0.01579593	-4.8828124e-08	-0.022798365	0.13084884	-0.05492691	64.5352	-8.245815	1.4219415	0.02190411	1.198138	0.0	1.6048295	0.009369633	1020000	3107.16477227211
34	9.8614	3.664879	15.458431	-0.109513536	39.033333	33.397087	112.0	0.0	1000.0	39781.0	0.037886666666666666	0.97932124	0.5806821	2.4089744	-0.5222215	3.5522993	1.7932528	8.030744	1.6583333	0.0	-0.016533056	0.0	-0.024346858	0.13343821	-0.0612076	43.979176	-5.3403244	1.4438456	0.022487402	1.2019823	0.0	1.5901831	0.009363556	1050000	3204.3090999126434
35	9.651341	3.3122349	16.988	2.4621303	39.166668	37.74748	186.0	0.0	1000.0	40956.0	0.037922222222222225	0.9613394	0.54159665	2.1578908	-0.52772015	3.8986495	1.4705287	8.761298	2.1908545	-3.95597e-08	-0.017344227	-6.306966e-08	-0.027837694	0.13921413	-0.056981854	54.246876	-7.579891	1.466333	0.023071289	1.0907247	0.0	1.5957253	0.008365528	1080000	3301.8847556114197
36	10.484145	4.410112	16.340866	-1.5451885	39.066666	36.22884	144.0	0.0	1000.0	42128.0	0.03795315315315315	1.028723	0.59456533	2.2789924	-0.44817558	3.995119	1.7368569	12.581801	2.7380042	-5.4001802e-08	-0.01837894	-8.138021e-08	-0.02745647	0.14801194	-0.06333429	51.76149	-7.786625	1.4894043	0.023617387	1.1095139	0.0	1.6253837	0.009175111	1110000	3399.7688539028168
