Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
32	18.186016	1.9825358	21.557076	16.470367	52.0	35.49648	110.0	14.0	1000.0	9673.0	0.07328030303030303	1.747764	0.3452438	2.3480663	0.2468101	4.67285	3.674896	27.154257	-1.3084307	-1.3589859e-08	-0.030442229	5.6028366e-08	-0.017652167	0.117256045	-0.062996656	38.33477	-18.468992	0	0	53.0	0.96106637	0.012019156	132000	183.20350122451782
33	17.300621	2.3766048	20.513243	13.930492	47.25	9.39082	55.0	32.0	1000.0	9862.0	0.07251470588235294	1.7005893	0.5117326	2.7440307	-0.082532205	4.4467154	4.4773273	31.169025	-1.4415523	2.3722649e-08	-0.030561235	-1.8119811e-08	0.004200243	0.12274022	-0.07020819	20.333597	-6.9481792	0	0	53.0	0.9421518	0.011533351	136000	189.31171131134033
34	13.345907	2.3446324	15.792725	9.755641	117.5	85.27749	241.0	0.0	1000.0	10332.0	0.0738	1.4975061	0.6325755	2.8023963	-0.3821134	6.5760374	5.6849523	30.497047	-0.37059054	4.529953e-09	-0.030066278	1.4233589e-07	0.00787574	0.11963891	-0.07943565	183.66766	-110.599335	0	0	35.0	0.9230128	0.011271206	140000	195.46666741371155
35	16.450352	2.2306805	19.315235	13.760507	39.5	24.264172	66.0	0.0	1000.0	10490.0	0.07284722222222222	1.5999434	0.4863245	2.5923398	0.07873866	6.647112	4.9765677	38.35755	-0.06433648	2.2560359e-08	-0.0065302243	-1.6331672e-08	-0.005027379	0.11438611	-0.066552304	21.874945	-13.380144	0	0	2.0	0.8997734	0.0069617126	144000	201.2244222164154
36	14.211874	0.76769793	15.480997	13.49304	33.25	26.920021	69.0	0.0	1000.0	10623.0	0.07177702702702703	1.562511	0.47401488	2.3606343	0.091821305	4.469165	2.8111455	22.112988	-0.5354893	8.881092e-09	-0.031469572	4.6610833e-08	-0.011793583	0.059644844	-0.037380636	30.827814	-14.565067	0	0	66.0	0.89849067	0.0115726795	148000	206.59944796562195
37	16.381964	1.8242345	19.197498	14.637346	76.0	59.979164	149.0	0.0	1000.0	10927.0	0.07188815789473685	1.5835778	0.47097415	2.5453749	0.06502809	3.9405515	3.4130583	14.130042	-0.022558033	5.00679e-09	-0.028818572	1.835823e-08	-0.0010779136	0.13513307	-0.08531137	65.95073	-30.500195	0	0	44.0	0.88485044	0.012183031	152000	211.92469716072083
38	14.769878	1.6441975	17.138264	12.829275	46.75	24.843258	83.0	13.0	1000.0	11114.0	0.07124358974358974	1.6042653	0.4947633	2.4485629	-0.16324443	7.7762265	4.844254	24.612976	0.96962696	-9.059906e-09	-0.031515244	-5.7935715e-08	-0.00555933	0.17327316	-0.1197191	35.174973	-19.825994	0	0	45.0	0.86261046	0.011422235	156000	217.26741003990173
39	16.973099	2.5806189	20.394295	13.121158	45.75	27.37129	87.0	12.0	1000.0	11297.0	0.07060625	1.6131734	0.39223325	2.4877152	0.24321383	5.6023397	3.057157	18.200617	1.0712965	1.9073486e-08	-0.010554916	-2.2411346e-08	-0.0048968284	0.1612533	-0.0901586	20.260012	-5.790167	0	0	6.0	0.82973826	0.010685473	160000	222.57299065589905
40	18.675669	1.3886693	20.37941	16.59165	48.75	23.327827	85.0	20.0	1000.0	11492.0	0.07007317073170732	1.8085612	0.37792552	2.5782876	0.43198022	4.915108	3.9654095	22.732761	0.32369292	6.9141386e-09	-0.030299507	-7.9870226e-08	0.0049410067	0.07704007	-0.03734331	23.795055	-9.914645	0	0	53.0	0.825678	0.011907721	164000	227.99897360801697
41	16.508451	2.8924277	18.627836	11.563533	44.5	15.435349	70.0	29.0	1000.0	11670.0	0.06946428571428571	1.794829	0.44893843	2.484192	0.4139925	4.36117	3.7045012	37.629402	-0.8970052	-6.2942505e-08	-0.028175524	4.863739e-08	-0.0024513928	0.11769455	-0.082228355	25.38434	-10.171164	0	0	35.0	0.7813486	0.011864136	168000	233.3671977519989
42	17.18119	1.3202407	19.014187	15.396384	90.5	32.81387	134.0	54.0	1000.0	12032.0	0.06995348837209302	1.74081	0.4452239	2.7715275	0.26652214	5.5851564	3.4970174	17.930353	0.36525542	-1.5497208e-09	-0.031065257	-2.8133393e-08	0.009558036	0.06544133	-0.04546336	45.74304	-21.981047	0	0	39.0	0.76671994	0.012260104	172000	238.75705122947693
43	18.389097	1.8942814	20.876898	15.543346	75.0	26.305893	117.0	49.0	1000.0	12332.0	0.07006818181818182	1.8228827	0.36915547	2.4699986	0.51962674	8.371119	3.9134512	21.19482	3.066555	-1.0609627e-08	-0.005517249	8.8214875e-09	0.008658277	0.14804432	-0.08824238	25.990368	-7.6975365	0	0	2.0	0.736338	0.0038897528	176000	244.0917010307312
44	17.927835	2.4154055	20.787518	14.119036	87.25	27.526123	120.0	60.0	1000.0	12681.0	0.07045	1.7710707	0.46769696	2.7196608	0.34820396	8.129336	4.227666	22.465374	3.6397424	-4.172325e-09	-0.025146816	5.7637692e-08	-0.016172735	0.14361146	-0.092583485	43.842564	-15.117802	0	0	30.0	0.73456967	0.012239962	180000	249.58466267585754
45	17.182848	1.9658386	19.743668	15.165215	47.0	20.530466	72.0	15.0	1000.0	12869.0	0.06994021739130435	1.8759608	0.49767	2.8628016	-0.09820591	7.3705125	4.364644	29.399128	3.6077182	-1.6689301e-09	-0.031269915	-4.220009e-08	-0.025325209	0.16156556	-0.11077319	33.885876	-17.205524	0	0	50.0	0.72787964	0.012054623	184000	255.08999037742615
46	18.512474	3.175349	23.302006	14.48377	50.75	37.989307	107.0	0.0	1000.0	13072.0	0.06953191489361703	1.8419653	0.41225412	2.6461992	0.5496944	5.9646115	4.389117	20.982172	0.44222516	3.9339065e-09	-0.023641147	4.6014787e-08	-0.026226193	0.1537885	-0.08691483	43.590645	-16.739395	0	0	36.0	0.7230525	0.0113842925	188000	260.610803604126
47	18.446564	2.3496275	22.14906	16.195751	52.25	49.027416	137.0	19.0	1000.0	13281.0	0.069171875	1.899548	0.4250603	2.63089	0.24134006	4.8400507	4.2754197	34.42726	-0.19463986	-5.1617622e-08	-0.03277736	-2.9563903e-08	-0.036156442	0.13667603	-0.08651662	51.852627	-22.869802	0	0	51.0	0.7117568	0.012759689	192000	266.27687978744507
48	17.463936	1.8269166	20.34592	15.286738	31.25	36.437447	89.0	0.0	1000.0	13406.0	0.06839795918367347	1.9043071	0.4402227	2.7773492	0.7785641	5.6063967	4.9997625	31.6196	-3.1694732	-5.2452087e-09	-0.020890303	-2.2888184e-08	0.0062824916	0.13888046	-0.09668335	22.076548	-14.967052	0	0	21.0	0.693804	0.011035921	196000	271.7963123321533
49	17.04255	0.8314924	18.409075	16.36134	37.25	31.736217	92.0	15.0	1000.0	13555.0	0.067775	1.7947913	0.4035848	2.6416981	0.61960393	2.7399957	3.521079	28.195398	-2.5071864	2.336502e-08	-0.02171632	1.821518e-07	0.009685805	0.071721755	-0.051421527	47.79952	-17.921658	0	0	22.0	0.6866214	0.011754891	200000	277.43937397003174
